CRN,Subject,Department,Number,Section,Instructor,Days,Start Time,End Time,Building,Room,Campus,Class Type,Method,DP or IN,PoT,Actual,Max
30208,A S,AS,1000,251,"Ekren, Brenton J",__T_R__,2:00 PM,5:30 PM,ASBN,150,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,54,90
30209,A S,AS,1120,251,"Brown, James Edward",__T____,11:00 AM,11:50 AM,DERR,324,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,19,35
30212,A S,AS,2120,251,"Bryant, Jessalyn K",__T____,12:30 PM,1:20 PM,DERR,324,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,11,25
30214,A S,AS,3312,251,"Ekren, Brenton J",__T_R__,8:00 AM,9:20 AM,DERR,324,"601 University Dr, San Marcos, TX 78666",LEC,FTF,IN,1,9,20
30215,A S,AS,4312,251,"Ekren, Brenton J",__T_R__,9:30 AM,10:50 AM,DERR,324,"601 University Dr, San Marcos, TX 78666",LEC,FTF,IN,1,12,20
37327,AAS,DLA,2310,251,"Watson, Dwight David",__T_R__,2:00 PM,3:20 PM,DERR,120,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,25,30
36229,AAS,DLA,4320,251,"Goldstone, Dwonna Naomi",__T_R__,12:30 PM,1:50 PM,TMH,110,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,22,40
40086,AAS,DLA,4388,251,"Goldstone, Dwonna Naomi",_______,,,ARR,ARR,"601 University Dr, San Marcos, TX 78666",IND,FTF,DP,1,4,5
38641,ACC,ACC,2301,252,"Mcwilliams, Jerome Alexander",_______,,,ARR,ARR,Online,LEC,INT,,1,99,103
32891,ACC,ACC,2301,277,"Wilhelm, Justin J",_M_W___,6:30 PM,8:00 PM,ARR,ARR,Online,LEC,INT,,1,187,200
38642,ACC,ACC,2301,279,"Mcwilliams, Jerome Alexander",_______,,,ARR,ARR,Online,LEC,INT,,1,100,102
36017,ACC,ACC,2361,260,"Vargus, Mark Edward",_M_W_F_,8:00 AM,8:50 AM,MCOY,119,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,183,184
